test_name,operation,input_file,status,confidence_score,findings,issues,reviewer
smoke_format_audio-extraction;diarization,diarization,test_files_wikimedia/amr/audio-enhancement-metadata/01_sample.amr,CORRECT,0.95,"1 speakers detected, 3 timeline entries. Structure correct: speakers array with id and total_speaking_time, timeline with speaker/start/end/confidence.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.0,"Text: 59 chars, 1 segments, language=en (prob=0.997). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_media_generated/test_avchd_10s.mts,CORRECT,1.0,"Text: 6 chars, 1 segments, language=en (prob=0.616). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;audio-classification,audio-classification,test_files_wikimedia/wma/audio-classification/02_merci.wma,SUSPICIOUS,0.4,39 segments with top class 'Class 1174' (confidence=0.970). Generic class names like 'Class 2216' suggest model may not have proper class labels loaded.,"Generic class names (e.g., 'Class 2216') instead of descriptive labels. Only 1 test has proper label ('Speech'). May indicate class mapping issue.",N=1
smoke_format_audio-extraction;transcription,transcription,test_media_generated/test_bluray_10s.m2ts,CORRECT,1.0,"Text: 6 chars, 1 segments, language=en (prob=0.616). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/format_test_3gp.3gp,CORRECT,1.0,"Text: 22 chars, 1 segments, language=en (prob=0.982). Structure correct: text, segments, language, language_probability all present.",None,N=1
UNKNOWN,transcription,UNKNOWN,CORRECT,1.0,"Text: 90 chars, 1 segments, language=en (prob=0.997). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_files_wikimedia/mkv/keyframes/02_h264_from_mov.mkv,CORRECT,1.0,"Text: 50 chars, 1 segments, language=en (prob=0.989). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/format_test_m4v.m4v,CORRECT,1.0,"Text: 41 chars, 1 segments, language=en (prob=0.990). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;diarization,diarization,test_files_wikimedia/tta/audio-enhancement-metadata/03_generated_sygnalow.tta,CORRECT,0.95,"7 speakers detected, 40 timeline entries. Structure correct: speakers array with id and total_speaking_time, timeline with speaker/start/end/confidence.",None,N=1
smoke_format_audio-extraction;audio-embeddings,audio-embeddings,test_files_wikimedia/ape/audio-enhancement-metadata/01_concret_vbAccelerator.ape,CORRECT,1.0,1 embeddings x 768 dimensions. No NaN/Inf values. Values in reasonable range.,None,N=1
smoke_plugin_audio;transcription,transcription,test_edge_cases/audio_mono_single_channel__channel_test.wav,CORRECT,1.0,"Text: 90 chars, 1 segments, language=en (prob=0.997). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;audio-embeddings,audio-embeddings,test_files_wikimedia/wma/audio-enhancement-metadata/02_merci.wma,CORRECT,1.0,1 embeddings x 768 dimensions. No NaN/Inf values. Values in reasonable range.,None,N=1
smoke_format_audio-extraction;acoustic-scene-classification,acoustic-scene-classification,test_files_wikimedia/ape/audio-classification/01_concret_vbAccelerator.ape,SUSPICIOUS,0.3,Empty array (length=0). All 5 tests produce empty output.,"All acoustic-scene-classification outputs are empty arrays. Either model not detecting scenes, or model not loaded properly, or test audio does not contain classifiable scenes.",N=1
smoke_format_audio-extraction;diarization,diarization,test_files_wikimedia/ape/audio-enhancement-metadata/01_concret_vbAccelerator.ape,CORRECT,0.95,"2 speakers detected, 3 timeline entries. Structure correct: speakers array with id and total_speaking_time, timeline with speaker/start/end/confidence.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_media_generated/test_transport_stream_10s.ts,CORRECT,1.0,"Text: 9 chars, 1 segments, language=en (prob=0.628). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;transcription,transcription,test_edge_cases/format_test_wmv.wmv,CORRECT,1.0,"Text: 41 chars, 1 segments, language=en (prob=0.979). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;diarization,diarization,test_files_wikimedia/wma/audio-enhancement-metadata/02_merci.wma,CORRECT,0.95,"1 speakers detected, 1 timeline entries. Structure correct: speakers array with id and total_speaking_time, timeline with speaker/start/end/confidence.",None,N=1
smoke_format_audio-extraction;audio-classification,audio-classification,test_files_wikimedia/amr/audio-classification/01_sample.amr,SUSPICIOUS,0.4,8 segments with top class 'Class 2216' (confidence=0.997). Generic class names like 'Class 2216' suggest model may not have proper class labels loaded.,"Generic class names (e.g., 'Class 2216') instead of descriptive labels. Only 1 test has proper label ('Speech'). May indicate class mapping issue.",N=1
smoke_format_audio-extraction;transcription,transcription,test_files_wikimedia/avi/keyframes/04_generated_from_webm.avi,CORRECT,1.0,"Text: 14 chars, 1 segments, language=en (prob=0.546). Structure correct: text, segments, language, language_probability all present.",None,N=1
smoke_format_audio-extraction;audio-classification,audio-classification,test_files_wikimedia/tta/audio-classification/03_generated_sygnalow.tta,SUSPICIOUS,0.4,67 segments with top class 'Class 911' (confidence=1.000). Generic class names like 'Class 2216' suggest model may not have proper class labels loaded.,"Generic class names (e.g., 'Class 2216') instead of descriptive labels. Only 1 test has proper label ('Speech'). May indicate class mapping issue.",N=1
smoke_format_audio-extraction;audio-embeddings,audio-embeddings,test_files_wikimedia/tta/audio-enhancement-metadata/03_generated_sygnalow.tta,CORRECT,1.0,1 embeddings x 768 dimensions. No NaN/Inf values. Values in reasonable range.,None,N=1
smoke_plugin_audio;audio-classification,audio-classification,test_edge_cases/audio_mono_single_channel__channel_test.wav,CORRECT,0.95,1 segments with top class 'Speech' (confidence=1.000). Proper class name detected.,None,N=1
smoke_format_audio-extraction;acoustic-scene-classification,acoustic-scene-classification,test_files_wikimedia/wma/audio-classification/02_merci.wma,SUSPICIOUS,0.3,Empty array (length=0). All 5 tests produce empty output.,"All acoustic-scene-classification outputs are empty arrays. Either model not detecting scenes, or model not loaded properly, or test audio does not contain classifiable scenes.",N=1
